DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2010-Q3,101.64,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2010-Q4,101.24,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2011-Q1,101.90,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2011-Q2,102.70,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2011-Q3,104.95,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2011-Q4,104.47,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2012-Q1,105.31,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2012-Q2,105.48,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2012-Q3,106.91,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2012-Q4,106.55,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2013-Q1,106.63,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2013-Q2,106.75,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2013-Q3,108.27,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2013-Q4,106.74,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2014-Q1,106.43,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2014-Q2,106.39,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2014-Q3,107.64,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2014-Q4,108.03,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2015-Q1,106.68,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2015-Q2,107.64,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2015-Q3,109.87,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2015-Q4,109.47,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2016-Q1,108.65,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2016-Q2,109.63,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2016-Q3,112.07,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2016-Q4,112.48,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2017-Q1,112.83,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2017-Q2,113.09,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2017-Q3,116.40,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2017-Q4,115.51,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2018-Q1,116.49,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2018-Q2,117.09,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2018-Q3,119.05,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2018-Q4,119.19,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2019-Q1,120.32,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2019-Q2,121.26,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2019-Q3,124.43,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2019-Q4,124.49,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2020-Q1,124.38,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2020-Q2,126.27,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2020-Q3,129.39,
