DATAFLOW,LAST UPDATE,freq,purchase,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,FR,2023,204.52,p
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,HR,2023,8.71,p
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2010,14.57,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2011,15.52,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2012,16.76,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2013,18.96,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2014,19.57,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2015,20.50,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2016,25.02,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2017,23.58,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2018,23.88,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2019,23.46,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2020,23.38,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2021,26.09,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2022,30.71,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IE,2023,32.29,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,IT,2010,158.57,
