DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CY,2020,93.99,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CY,2021,94.52,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CY,2022,96.28,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CY,2023,98.68,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2008,106.80,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2009,101.60,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2011,100.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2012,99.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2013,98.90,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2014,101.40,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2015,105.40,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2016,113.10,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2017,126.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2018,136.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2019,148.90,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2020,161.20,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2021,193.50,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2022,225.50,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,CZ,2023,221.70,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2005,101.10,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2006,100.80,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2007,98.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2008,99.10,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2009,99.20,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2011,103.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2012,106.90,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2013,110.60,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2014,113.90,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,DE,2015,119.20,
